OBJECTID,INTERZONE,NAME,TOTPOP2011,RESPOP2011,HHCNT2011,STDAREAHA,STDAREAKM2,POPULATION,FIVE_YEAR_POPULATION,ACC_POIS_PER_1000,ASSAULT_RATE_PER_1000,BURNS_PER_1000,FALLS_PER_1000,GYN_AND_OBS_PER_1000,HOME_ACCIDENTS_PER_1000,INJURY_OTHER_PER_1000,INTENTIONAL_SELF_HARM_PER_1000,MEDICAL_CONDITION_PER_1000,NEEDLESTICK_PER_1000,PERSONAL_ACTIVITY_PER_1000,PLAYING_PER_1000,PSYCHIATRIC_CONDITION_PER_1000,ROAD_TRAFFIC_ACCIDENT_PER_1000,RTA_PEDESTRIAN_PER_1000,SPORTING_INJURY_PER_1000,SURGICAL_CONDITION_PER_1000,UNSPECIFIED_PER_1000,NO_OF_TOP_5S_ADJUSTED,ACORN_GROUP,SHAPE__AREA,SHAPE__LENGTH,SHAPEAREA,SHAPELEN
35,S02001882,Glenwood North,4319,4231,1890,116.703869,1.167037,4313,21565,0.74194296,4.59077208,2.59680037,24.76234639,3.06051472,5.93554371,134.84813355,2.5040575,198.79434268,0.09274287,1.34477162,5.05448644,4.2198006,7.83677255,0.27822861,12.42754463,15.024345,82.72664039,4,Difficult Circumstances ,1167038.70965576,6749.70968239,1167038.7096118,6749.70968239155
36,S02001883,Castlemilk,4905,4900,2341,75.515797,0.755156,4980,24900,0.36144578,3.05220884,2.04819277,21.3253012,2.1686747,4.13654618,122.93172691,1.00401606,149.35742972,0.08032129,1.56626506,4.0562249,2.97188755,7.38955823,0.44176707,12.77108434,12.85140562,59.63855422,1,,755157.98435974,6303.19936013,755157.984490325,6303.19936012008
37,S02001884,Kingspark South,4157,4157,1727,100.976722,1.009767,4026,20130,0.29806259,1.78837556,1.58966716,18.33084948,1.53999006,5.96125186,109.73671138,0.74515648,104.520616,0.0496771,1.88772976,3.57675112,1.53999006,6.25931446,0.24838549,13.66120219,9.93541977,45.80228515,3,Young Hardship ,1009767.23132324,5596.23234351,1009767.2312762,5596.23234350432
38,S02001885,Kingspark North,4368,4368,1774,67.269157,0.672688,4069,20345,0.34406488,1.37625952,2.06438928,20.69304497,1.47456377,5.55419022,106.41435242,0.54067338,119.29220939,0.09830425,1.62202015,4.27623495,0.93389039,6.73384124,0.29491275,12.82870484,11.45244532,48.31653969,3,"Young Hardship, Mature Money",672691.56455994,5096.50338326,672691.564550035,5096.50338326505
39,S02001886,Cathcart,4798,4797,2780,79.104296,0.791045,5411,27055,0.14784698,1.737202,1.84808723,21.17907965,1.14581408,4.50933284,95.69395675,1.07189059,116.6143042,0.11088523,1.70024025,2.84605433,4.65717982,4.58325633,0.48050268,9.24043615,10.49713546,46.90445389,1,,791042.96018982,6638.17614619,791042.960251,6638.17614619222
40,S02001887,Mount Florida,4172,4147,2264,57.462861,0.57463,4395,21975,0.27303754,1.41069397,1.592719,16.60978385,0.91012514,4.00455063,96.56427759,0.91012514,96.20022753,0.18202503,1.00113766,1.592719,2.82138794,3.64050057,0.3185438,10.23890785,10.23890785,45.87030717,,,574628.62109375,4910.11260202,574628.621211,4910.11260201538
41,S02001888,Toryglen and Oatlands,5646,5645,2812,197.209169,1.972097,6814,34070,0.46962137,3.19929557,2.37745817,23.59847373,2.26005283,5.0484297,113.79512768,1.14470208,161.52039918,0.02935134,1.37951277,4.1385383,2.84707954,6.3692398,0.4989727,11.44702084,15.8790725,67.09715292,1,,1972091.72561646,7714.15356778,1972091.72563928,7714.15356778194
42,S02001889,Gorbals and Hutchesontown,5824,5794,3288,82.427614,0.824274,6201,31005,0.80632156,4.16061925,1.90291888,19.80325754,2.67698758,3.74133204,89.66295759,1.8061603,146.97629415,0.16126431,0.99983874,2.93501048,3.87034349,4.16061925,0.2580229,6.38606676,13.7397194,78.76149008,,,824276.15071106,5474.56215584,824276.15086555,5474.56215583402
43,S02001890,Laurieston and Tradeston,5001,4449,2546,218.015415,2.180155,6156,30780,1.36452242,3.86614685,1.36452242,11.01364522,2.43664717,2.56660169,64.32748538,1.81936322,112.15074724,0.03248863,0.87719298,1.36452242,5.06822612,2.66406758,0.45484081,5.91293047,11.40350877,70.30539311,1,,2180154.15873718,9392.95518861,2180154.15861381,9392.95518860692
44,S02001891,Calton and Gallowgate,3987,3951,2403,102.883029,1.028829,4602,23010,0.65189048,2.78139939,1.2603216,9.03954802,2.43372447,0.73880921,58.23554976,0.95610604,93.698392,0.1303781,0.21729683,0.91264668,2.95523685,2.17296827,0.08691873,2.25988701,14.38504998,94.74141678,,,1028830.2789917,8413.75044976,1028830.27913584,8413.75044976615
45,S02001892,Bridgeton,3552,3515,1979,36.905803,0.369061,4147,20735,0.77164215,3.37593441,1.3986014,11.23703882,3.13479624,1.06100796,61.53846154,1.49505667,106.4383892,0.09645527,0.33759344,2.31492645,3.47238968,3.27947914,0.19291054,2.99011333,13.35905474,100.36170726,,,369058.07240295,5158.40647259,369058.0724105,5158.40647259381
46,S02001893,Dalmarnock,2529,2525,1453,118.593715,1.185936,3860,19300,0.51813472,3.73056995,1.29533679,14.45595855,4.50777202,1.8134715,92.07253886,1.39896373,134.40414508,0,0.88082902,2.95336788,2.79792746,4.87046632,0.56994819,4.35233161,17.72020725,127.20207254,,,1185937.13815308,8123.85489595,1185937.1382077,8123.8548959552
